5ae3a1	5c1be0	i	p.i	p.i	i	i	u
5ae3a1	5c1be0	i	p.i	p.i	i	i	u
5ae3a1	5c1be0	i	p.i	p.i	i	i	p.p
5ae3a1	5c1be0	i	p.i	p.i	i	i	p.p
5ae3a1	5c1be0	i	p.i	p.i	i	i	u
5ae3a1	5c1be0	i	p.i	p.i	i	i	u
5ae3a1	5c1be0	i	p.i	p.i	i	i	p.p
5ae3a1	5c1be0	i	p.i	p.i	i	i	p.p
5ae3a1	5c1be0	i	p.i	p.i	i	i	u
5ae3a1	5c1be0	i	p.i	p.i	i	i	u
5ae3a1	5c1be0	i	p.i	p.i	i	i	p.p
5ae3a1	5c1be0	i	p.i	p.i	i	i	p.p
5ae3a1	5c1be0	i	p.i	p.i	i	i	u
5ae3a1	5c1be0	i	p.i	p.i	i	i	u
5ae3a1	5c1be0	i	p.i	p.i	i	i	u
5ae3a1	5c1be0	i	p.i	p.i	i	i	u
5ae3a1	5c1be0	i	p.i	p.i	i	i	p.p
5ae3a1	5c1be0	i	p.i	p.i	i	i	p.p
4de7b0	622590	p.u	p.p	p.u	i	i	i
609c33	40b310	p.i	u	p.p	i	i	i
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.u	p.p
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.u	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
4f5dd1	605130	p.i	p.i	i	i	p.p	p.u
60b7d6	60e020	p.u	u	i	p.u	p.u	p.i
60b7d6	60e020	p.u	u	i	p.u	p.u	p.i
6381f0	4cd090	p.u	p.u	i	u	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
60b7d6	60e020	p.u	u	i	p.u	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
60b7d6	60e020	p.u	u	i	p.u	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
60b7d6	60e020	p.u	u	i	p.u	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
60b7d6	60e020	p.u	u	i	p.u	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
6381f0	4cd090	p.u	p.u	i	u	i	u
637f5a	4cd0c0	p.u	p.u	i	i	i	u
60b7d6	60e020	p.u	u	i	p.p	i	u
